Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
0.02,405.0,-62.0,-11.0,990.0,0.0
0.04,846.0,-66.0,-11.0,978.0,-0.012949200000000001
0.06,847.0,-70.0,-19.0,986.0,-0.0266832
0.08,850.0,-66.0,-3.0,978.0,-0.039632400000000005
0.1,849.0,-70.0,-11.0,994.0,-0.05336640000000001
0.12,849.0,-70.0,-7.0,986.0,-0.0671004
0.14,848.0,-66.0,-3.0,990.0,-0.08004960000000001
0.16,849.0,-70.0,-11.0,994.0,-0.09378360000000001
0.18,848.0,-66.0,-15.0,986.0,-0.1067328
0.2,848.0,-66.0,-11.0,982.0,-0.11968200000000001
0.22,849.0,-54.0,-11.0,982.0,-0.1302768
0.24,849.0,-62.0,-15.0,978.0,-0.1424412
0.26,849.0,-62.0,-7.0,986.0,-0.1546056
0.28,848.0,-66.0,-7.0,990.0,-0.16755480000000003
0.3,849.0,-70.0,-19.0,982.0,-0.1812888
0.32,849.0,-62.0,-7.0,986.0,-0.19345320000000002
0.34,849.0,-62.0,-11.0,986.0,-0.20561760000000004
0.36,851.0,-58.0,-11.0,982.0,-0.21699720000000003
0.38,850.0,-62.0,-11.0,986.0,-0.22916160000000005
0.4,849.0,-66.0,-7.0,994.0,-0.24211080000000007
0.42,850.0,-62.0,-3.0,986.0,-0.25427520000000003
0.44,849.0,-62.0,-3.0,986.0,-0.26643960000000005
0.46,850.0,-58.0,-19.0,990.0,-0.27781920000000004
0.48,850.0,-58.0,-15.0,986.0,-0.28919880000000003
0.5,850.0,-66.0,0.0,982.0,-0.302148
0.52,849.0,-62.0,-11.0,982.0,-0.31431240000000005
0.54,849.0,-66.0,-7.0,978.0,-0.32726160000000004
0.56,851.0,-70.0,0.0,975.0,-0.34099560000000007
0.58,851.0,-62.0,-11.0,990.0,-0.35316000000000003
0.6,850.0,-62.0,-7.0,975.0,-0.36532440000000005
0.62,850.0,-66.0,-11.0,982.0,-0.37827360000000004
0.64,849.0,-62.0,-7.0,986.0,-0.39043800000000006
0.66,850.0,-66.0,-15.0,982.0,-0.40338720000000006
0.68,850.0,-66.0,-7.0,994.0,-0.41633640000000005
0.7,849.0,-66.0,-19.0,975.0,-0.4292856
0.72,850.0,-66.0,-7.0,978.0,-0.4422348
0.74,851.0,-66.0,0.0,990.0,-0.455184
0.76,849.0,-66.0,-3.0,998.0,-0.46813319999999997
0.78,850.0,-66.0,-11.0,986.0,-0.48108239999999997
0.8,850.0,-62.0,-11.0,986.0,-0.4932468
