Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),delta t
0.02,171,3,-31,986,0,0
0.04,171,15,-31,967,0.002943,0.02
0.06,170,23,-42,990,0.0074556,0.02
0.08,171,15,-31,982,0.0103986,0.02
0.1,170,27,-39,963,0.015696,0.02
0.12,170,11,-35,967,0.0178542,0.02
0.14,170,11,-27,967,0.0200124,0.02
0.16,170,19,-39,963,0.0237402,0.02
0.18,170,3,-42,963,0.0243288,0.02
0.2,170,7,-27,951,0.0257022,0.02
0.22,170,15,-39,963,0.0286452,0.02
0.24,176,11,-39,971,0.0308034,0.02
0.26,175,35,-35,951,0.0376704,0.02
0.28,175,11,-42,982,0.0398286,0.02
0.3,175,11,-35,967,0.0419868,0.02
0.32,176,19,-39,967,0.0457146,0.02
0.34,174,7,-39,982,0.047088,0.02
0.36,175,19,-35,963,0.0508158,0.02
0.38,175,15,-42,978,0.0537588,0.02
0.4,174,19,-35,986,0.0574866,0.02
0.42,176,31,-31,990,0.0635688,0.02
0.44,175,23,-46,1010,0.0680814,0.02
0.46,177,23,-35,986,0.072594,0.02
0.48,177,35,-35,1014,0.079461,0.02
0.5,177,27,-39,1014,0.0847584,0.02
0.52,177,19,-42,978,0.0884862,0.02
0.54,176,23,-39,1021,0.0929988,0.02
0.56,176,23,-46,1006,0.0975114,0.02
0.58,178,27,-27,1014,0.1028088,0.0199999999999999
0.6,177,27,-50,1029,0.1081062,0.02
0.62,176,31,-42,1014,0.1141884,0.02
0.64,177,42,-31,1014,0.1224288,0.02
0.66,177,27,-50,1041,0.1277262,0.02
0.68,175,31,-35,1010,0.1338084,0.02
0.7,176,27,-39,1025,0.1391058,0.0199999999999999
0.72,175,27,-46,1025,0.1444032,0.02
0.74,175,19,-35,1017,0.148131,0.02
0.76,174,31,-39,967,0.1542132,0.02
0.78,176,19,-31,963,0.157941,0.02
0.8,175,11,-46,975,0.1600992,0.02
0.82,174,7,-35,963,0.1614726,0.0199999999999999
0.84,175,27,-39,971,0.16677,0.02
0.86,175,19,-46,998,0.1704978,0.02
0.88,175,35,-31,971,0.1773648,0.02
0.9,172,27,-46,994,0.1826622,0.02
0.92,173,31,-42,1010,0.1887444,0.02
0.94,173,31,-27,994,0.1948266,0.0199999999999999
0.96,174,23,-54,1017,0.1993392,0.02
0.98,172,19,-42,994,0.203067,0.02
1,174,31,-35,1002,0.2091492,0.02
1.02,173,19,-50,1010,0.212877,0.02
1.04,173,35,-39,990,0.219744,0.02
1.06,172,19,-39,1017,0.2234718,0.02
1.08,173,23,-42,1014,0.2279844,0.02
1.1,174,42,-31,1021,0.2362248,0.02
1.12,177,39,-42,1037,0.2438766,0.02
1.14,177,31,-35,1006,0.2499588,0.0199999999999998
1.16,177,42,-39,1021,0.2581992,0.02
1.18,177,27,-50,1037,0.2634966,0.02
1.2,177,31,-39,994,0.2695788,0.02
1.22,177,23,-39,1017,0.2740914,0.02
1.24,177,23,-39,1021,0.278604,0.02
1.26,177,35,-31,1010,0.285471,0.02
1.28,177,15,-42,1021,0.288414,0.02
1.3,177,31,-46,994,0.2944962,0.02
1.32,177,35,-31,1025,0.3013632,0.02
1.34,177,31,-42,1021,0.3074454,0.02
1.36,177,35,-31,986,0.3143124,0.02
1.38,177,19,-35,1017,0.3180402,0.0199999999999998
1.4,177,15,-39,986,0.3209832,0.02
1.42,176,27,-35,978,0.3262806,0.02
1.44,177,3,-42,998,0.3268692,0.02
1.46,177,11,-35,963,0.3290274,0.02
1.48,177,19,-35,982,0.3327552,0.02
1.5,177,19,-35,998,0.336483,0.02
1.52,177,23,-31,971,0.3409956,0.02
1.54,177,11,-42,978,0.3431538,0.02
1.56,176,15,-35,971,0.3460968,0.02
1.58,177,23,-31,959,0.3506094,0.02
1.6,176,7,-39,971,0.3519828,0.02
1.62,175,11,-35,947,0.354141,0.02
1.64,177,11,-46,963,0.3562992,0.0199999999999998
1.66,176,3,-31,959,0.3568878,0.02
1.68,176,19,-27,943,0.3606156,0.02
1.7,176,11,-46,990,0.3627738,0.02
1.72,176,7,-31,967,0.3641472,0.02
1.74,176,35,-35,971,0.3710142,0.02
1.76,176,19,-42,978,0.374742,0.02
1.78,175,27,-27,959,0.3800394,0.02
1.8,176,19,-46,978,0.3837672,0.02
1.82,176,15,-39,986,0.3867102,0.02
1.84,176,19,-27,967,0.390438,0.02
1.86,176,7,-46,994,0.3918114,0.02
1.88,176,7,-35,975,0.3931848,0.0199999999999998
1.9,176,27,-39,994,0.3984822,0.02
1.92,176,27,-46,1006,0.4037796,0.02
1.94,176,27,-27,971,0.409077,0.02
1.96,176,27,-46,1010,0.4143744,0.02
1.98,176,39,-42,1006,0.4220262,0.02
2,176,31,-27,990,0.4281084,0.02
2.02,176,11,-42,1006,0.4302666,0.02
2.04,176,15,-39,994,0.4332096,0.02
2.06,176,31,-31,1017,0.4392918,0.02
2.08,176,15,-58,1025,0.4422348,0.02
2.1,176,31,-39,998,0.448317,0.02
2.12,176,27,-42,1033,0.4536144,0.02
2.14,176,35,-50,1017,0.4604814,0.02
2.16,176,46,-35,1025,0.4695066,0.02
2.18,176,31,-46,1037,0.4755888,0.02
2.2,176,31,-39,998,0.481671,0.02
2.22,175,31,-35,1017,0.4877532,0.02
2.24,175,23,-42,1033,0.4922658,0.02
2.26,175,31,-42,998,0.498348,0.0199999999999996
2.28,174,15,-35,1029,0.501291,0.02
2.3,175,27,-42,1014,0.5065884,0.02
2.32,175,35,-39,1006,0.5134554,0.02
2.34,175,23,-39,1029,0.517968,0.02
2.36,175,27,-42,998,0.5232654,0.02
2.38,176,39,-39,1014,0.5309172,0.02
2.4,175,19,-54,1002,0.534645,0.02
2.42,175,31,-39,978,0.5407272,0.02
2.44,176,11,-39,998,0.5428854,0.02
2.46,177,11,-46,975,0.5450436,0.02
2.48,176,31,-42,971,0.5511258,0.02
2.5,176,3,-35,986,0.5517144,0.02
2.52,175,27,-39,963,0.5570118,0.02
2.54,176,23,-35,1049,0.5615244,0.02
2.56,176,11,-39,998,0.5636826,0.02
2.58,176,31,-42,1017,0.5697648,0.02
2.6,177,27,-50,1021,0.5750622,0.02
2.62,176,35,-23,1010,0.5819292,0.02
2.64,176,27,-42,1037,0.5872266,0.02
2.66,176,35,-46,1029,0.5940936,0.02
2.68,177,42,-39,1033,0.602334,0.02
