Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
0.02,164.0,19.0,-27.0,1010.0,0.0
0.04,166.0,35.0,-27.0,990.0,0.006867000000000001
0.06,166.0,31.0,-35.0,978.0,0.0129492
0.08,166.0,11.0,-27.0,998.0,0.0151074
0.1,166.0,35.0,-31.0,990.0,0.0219744
0.12,166.0,15.0,-31.0,998.0,0.0249174
0.14,165.0,27.0,-23.0,990.0,0.030214800000000003
0.16,166.0,31.0,-27.0,982.0,0.036297
0.18,165.0,19.0,-31.0,998.0,0.0400248
0.2,165.0,35.0,-31.0,986.0,0.046891800000000004
0.22,166.0,31.0,-31.0,998.0,0.052974
0.24,176.0,19.0,-31.0,990.0,0.0567018
0.26,175.0,35.0,-31.0,990.0,0.06356880000000001
0.28,176.0,23.0,-27.0,998.0,0.06808140000000001
0.3,176.0,27.0,-31.0,986.0,0.07337880000000001
0.32,176.0,27.0,-27.0,986.0,0.07867620000000002
0.34,176.0,23.0,-31.0,994.0,0.08318880000000002
0.36,176.0,39.0,-23.0,982.0,0.09084060000000001
0.38,176.0,15.0,-31.0,986.0,0.09378360000000001
0.4,175.0,19.0,-31.0,994.0,0.09751140000000001
0.42,176.0,27.0,-31.0,986.0,0.1028088
0.44,175.0,19.0,-39.0,994.0,0.10653660000000001
0.46,177.0,39.0,-27.0,990.0,0.11418840000000002
0.48,178.0,31.0,-27.0,990.0,0.1202706
0.5,178.0,15.0,-31.0,994.0,0.1232136
0.52,177.0,35.0,-19.0,986.0,0.13008060000000002
0.54,178.0,23.0,-35.0,994.0,0.13459320000000002
0.56,178.0,31.0,-31.0,990.0,0.14067540000000003
0.58,178.0,23.0,-31.0,986.0,0.145188
0.6,178.0,7.0,-31.0,1002.0,0.1465614
0.62,178.0,31.0,-23.0,990.0,0.15264360000000002
0.64,178.0,23.0,-31.0,990.0,0.15715620000000002
0.66,178.0,19.0,-27.0,994.0,0.16088400000000003
0.68,177.0,35.0,-31.0,986.0,0.16775100000000004
0.7,178.0,23.0,-27.0,990.0,0.17226360000000002
0.72,178.0,31.0,-35.0,994.0,0.17834580000000003
0.74,177.0,27.0,-19.0,994.0,0.18364320000000003
0.76,178.0,15.0,-31.0,994.0,0.18658620000000004
0.78,177.0,35.0,-31.0,982.0,0.19345320000000005
0.8,178.0,23.0,-35.0,998.0,0.19796580000000005
0.82,178.0,35.0,-23.0,986.0,0.2048328
0.84,178.0,35.0,-19.0,982.0,0.21169980000000002
0.86,177.0,19.0,-35.0,998.0,0.21542760000000002
0.88,178.0,27.0,-27.0,994.0,0.22072500000000003
0.9,178.0,23.0,-35.0,982.0,0.22523760000000004
0.92,177.0,23.0,-31.0,1002.0,0.22975020000000004
0.94,178.0,39.0,-23.0,978.0,0.237402
0.96,178.0,19.0,-31.0,994.0,0.2411298
0.98,178.0,31.0,-23.0,994.0,0.24721200000000002
1.0,178.0,27.0,-27.0,986.0,0.2525094
1.02,178.0,27.0,-23.0,982.0,0.2578068
1.04,177.0,35.0,-31.0,978.0,0.2646738
1.06,178.0,15.0,-27.0,998.0,0.26761680000000004
1.08,177.0,27.0,-35.0,986.0,0.27291420000000005
1.1,178.0,27.0,-27.0,990.0,0.27821160000000006
1.12,178.0,15.0,-35.0,998.0,0.2811546000000001
1.14,177.0,35.0,-23.0,986.0,0.28802160000000004
1.16,178.0,19.0,-31.0,998.0,0.29174940000000005
1.18,178.0,27.0,-23.0,990.0,0.29704680000000006
1.2,178.0,35.0,-27.0,982.0,0.30391380000000007
1.22,178.0,23.0,-31.0,994.0,0.30842640000000004
1.24,178.0,35.0,-31.0,986.0,0.31529340000000006
1.26,178.0,23.0,-35.0,986.0,0.31980600000000003
1.28,178.0,19.0,-27.0,1002.0,0.32353380000000004
1.3,177.0,27.0,-35.0,982.0,0.32883120000000005
1.32,178.0,23.0,-35.0,998.0,0.3333438
1.34,177.0,19.0,-27.0,990.0,0.3370716
1.36,177.0,23.0,-27.0,982.0,0.3415842
1.38,176.0,23.0,-31.0,1002.0,0.3460968
1.4,177.0,35.0,-31.0,982.0,0.3529638
1.42,177.0,27.0,-35.0,998.0,0.3582612
1.44,177.0,19.0,-27.0,994.0,0.361989
1.46,177.0,39.0,-27.0,982.0,0.3696408
1.48,177.0,15.0,-27.0,998.0,0.3725838
1.5,177.0,23.0,-27.0,990.0,0.3770964
1.52,177.0,23.0,-31.0,982.0,0.381609
1.54,176.0,23.0,-35.0,998.0,0.38612159999999995
1.56,177.0,35.0,-27.0,982.0,0.39298859999999997
1.58,177.0,19.0,-31.0,994.0,0.39671639999999997
1.6,177.0,27.0,-27.0,998.0,0.4020138
1.62,176.0,31.0,-35.0,975.0,0.40809599999999996
1.64,176.0,27.0,-35.0,1006.0,0.4133933999999999
1.66,177.0,27.0,-23.0,986.0,0.4186907999999999
1.68,177.0,23.0,-31.0,982.0,0.4232033999999999
1.7,177.0,23.0,-27.0,1002.0,0.4277159999999999
1.72,177.0,39.0,-31.0,990.0,0.43536779999999986
1.74,176.0,15.0,-35.0,1002.0,0.4383107999999999
1.76,177.0,27.0,-31.0,990.0,0.4436081999999999
1.78,178.0,39.0,-27.0,986.0,0.4512599999999999
1.8,178.0,23.0,-31.0,1002.0,0.45577259999999986
1.82,177.0,27.0,-23.0,982.0,0.46106999999999987
1.84,178.0,19.0,-27.0,990.0,0.46479779999999987
1.86,178.0,15.0,-35.0,998.0,0.4677407999999999
1.88,178.0,35.0,-27.0,982.0,0.47460779999999986
1.9,178.0,19.0,-35.0,990.0,0.47833559999999986
1.92,178.0,23.0,-31.0,990.0,0.48284819999999984
1.94,177.0,31.0,-31.0,982.0,0.4889303999999998
1.96,178.0,15.0,-27.0,994.0,0.49187339999999985
1.98,177.0,35.0,-19.0,986.0,0.49874039999999986
2.0,178.0,19.0,-39.0,986.0,0.5024681999999998
2.02,178.0,19.0,-31.0,1002.0,0.5061959999999999
2.04,178.0,31.0,-23.0,986.0,0.5122781999999999
2.06,178.0,15.0,-31.0,994.0,0.5152211999999999
2.08,178.0,15.0,-19.0,990.0,0.5181642
2.1,177.0,27.0,-35.0,986.0,0.5234616
2.12,178.0,19.0,-31.0,994.0,0.5271893999999999
2.14,178.0,35.0,-27.0,978.0,0.5340563999999999
2.16,177.0,23.0,-27.0,990.0,0.5385689999999999
2.18,178.0,27.0,-23.0,998.0,0.5438663999999999
2.2,177.0,27.0,-31.0,986.0,0.5491637999999999
2.22,177.0,23.0,-31.0,994.0,0.5536763999999998
2.24,178.0,31.0,-23.0,982.0,0.5597585999999999
2.26,178.0,27.0,-35.0,986.0,0.5650559999999998
2.28,178.0,19.0,-31.0,994.0,0.5687837999999998
2.3,177.0,27.0,-23.0,978.0,0.5740811999999998
2.32,178.0,19.0,-31.0,1002.0,0.5778089999999998
2.34,178.0,19.0,-27.0,990.0,0.5815367999999999
2.36,177.0,35.0,-35.0,986.0,0.5884037999999998
2.38,178.0,19.0,-31.0,994.0,0.5921315999999999
2.4,178.0,35.0,-23.0,994.0,0.5989985999999998
2.42,178.0,27.0,-35.0,986.0,0.6042959999999998
2.44,178.0,15.0,-35.0,990.0,0.6072389999999999
2.46,178.0,31.0,-27.0,986.0,0.6133211999999999
2.48,177.0,15.0,-31.0,994.0,0.6162641999999999
2.5,177.0,27.0,-35.0,990.0,0.6215615999999999
2.52,178.0,27.0,-31.0,986.0,0.6268589999999999
2.54,178.0,15.0,-31.0,994.0,0.629802
2.56,177.0,31.0,-27.0,994.0,0.6358842
2.58,177.0,19.0,-35.0,990.0,0.6396120000000001
2.6,178.0,31.0,-31.0,998.0,0.6456942000000001
2.62,178.0,31.0,-27.0,982.0,0.6517764000000001
