Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
4.54,345.0,-74.0,0.0,978.0,0.0
4.56,345.0,-70.0,0.0,982.0,-0.013733999999999708
4.58,344.0,-74.0,0.0,986.0,-0.028252800000000043
4.6,345.0,-70.0,-3.0,990.0,-0.041986799999999755
4.62,344.0,-70.0,7.0,986.0,-0.05572080000000007
4.64,345.0,-74.0,-3.0,978.0,-0.07023959999999976
4.66,345.0,-70.0,0.0,990.0,-0.08397360000000008
4.68,344.0,-70.0,-7.0,978.0,-0.09770759999999978
4.7,344.0,-66.0,3.0,975.0,-0.11065680000000008
4.72,344.0,-62.0,0.0,982.0,-0.12282119999999982
4.74,345.0,-74.0,0.0,990.0,-0.13734000000000016
4.76,344.0,-70.0,0.0,986.0,-0.15107399999999988
4.78,344.0,-66.0,-3.0,982.0,-0.16402320000000017
4.8,344.0,-70.0,3.0,986.0,-0.1777571999999999
4.82,344.0,-66.0,0.0,978.0,-0.1907064000000002
4.84,344.0,-74.0,7.0,978.0,-0.20522519999999989
4.86,345.0,-74.0,3.0,982.0,-0.21974400000000022
4.88,344.0,-66.0,0.0,982.0,-0.23269319999999993
4.9,344.0,-66.0,0.0,986.0,-0.24564240000000023
4.92,344.0,-66.0,3.0,990.0,-0.2585916
4.94,345.0,-70.0,3.0,982.0,-0.2723256000000003
4.96,344.0,-74.0,0.0,982.0,-0.28684439999999994
4.98,345.0,-66.0,3.0,986.0,-0.2997936000000002
5.0,345.0,-66.0,11.0,990.0,-0.31274279999999993
5.02,344.0,-66.0,0.0,978.0,-0.32569199999999965
5.04,344.0,-74.0,0.0,982.0,-0.3402108
5.06,344.0,-78.0,7.0,978.0,-0.3555143999999997
5.08,344.0,-74.0,0.0,990.0,-0.3700332
5.1,344.0,-70.0,-3.0,982.0,-0.3837671999999997
5.12,345.0,-66.0,11.0,998.0,-0.39671639999999997
5.14,343.0,-70.0,3.0,982.0,-0.41045039999999966
5.16,344.0,-70.0,0.0,990.0,-0.42418439999999996
5.18,343.0,-70.0,0.0,982.0,-0.43791839999999965
5.2,343.0,-81.0,0.0,990.0,-0.4538106
5.22,344.0,-66.0,0.0,982.0,-0.4667597999999997
5.24,343.0,-74.0,3.0,986.0,-0.48127860000000006
5.26,344.0,-70.0,0.0,982.0,-0.49501259999999975
5.28,343.0,-74.0,-11.0,978.0,-0.5095314000000001
5.3,343.0,-58.0,-3.0,963.0,-0.5209109999999998
5.32,343.0,-70.0,0.0,982.0,-0.5346450000000001
5.34,344.0,-66.0,-3.0,986.0,-0.5475941999999999
5.36,343.0,-70.0,3.0,978.0,-0.5613282000000003
5.38,344.0,-70.0,3.0,986.0,-0.5750622
5.4,344.0,-66.0,0.0,990.0,-0.5880114000000003
5.42,343.0,-66.0,0.0,975.0,-0.6009606000000001
5.44,344.0,-66.0,0.0,982.0,-0.6139098000000004
5.46,343.0,-70.0,7.0,986.0,-0.6276438000000001
5.48,344.0,-70.0,0.0,982.0,-0.6413778000000004
5.5,344.0,-70.0,0.0,982.0,-0.6551118000000001
5.52,342.0,-66.0,3.0,978.0,-0.6680609999999999
5.54,343.0,-62.0,3.0,982.0,-0.6802254000000002
5.56,343.0,-70.0,7.0,990.0,-0.6939593999999999
5.58,343.0,-74.0,0.0,986.0,-0.7084782000000003
5.6,343.0,-70.0,3.0,982.0,-0.7222122
5.62,345.0,-62.0,3.0,982.0,-0.7343766000000003
5.64,344.0,-70.0,7.0,982.0,-0.7481106
5.66,344.0,-70.0,7.0,986.0,-0.7618446000000003
5.68,344.0,-74.0,0.0,975.0,-0.7763634
5.7,344.0,-74.0,0.0,978.0,-0.7908822000000004
5.72,343.0,-74.0,0.0,978.0,-0.8054010000000001
5.74,343.0,-70.0,3.0,975.0,-0.8191350000000005
5.76,344.0,-74.0,3.0,986.0,-0.8336538000000002
5.78,344.0,-70.0,0.0,978.0,-0.8473878000000006
5.8,343.0,-74.0,3.0,986.0,-0.8619066000000003
5.82,343.0,-74.0,0.0,982.0,-0.8764254000000007
5.84,344.0,-62.0,3.0,978.0,-0.8885898000000004
5.86,343.0,-74.0,11.0,982.0,-0.9031086000000008
5.88,343.0,-62.0,3.0,978.0,-0.9152730000000006
5.9,343.0,-70.0,0.0,978.0,-0.9290070000000009
5.92,344.0,-74.0,7.0,986.0,-0.9435258000000006
5.94,344.0,-78.0,3.0,982.0,-0.9588294000000009
5.96,344.0,-62.0,0.0,975.0,-0.9709938000000007
5.98,343.0,-70.0,0.0,986.0,-0.984727800000001
