Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
0.04,831,-13.7285714285714,-9.08571428571429,-2.75714285714287,0,0,0,0,0
0.08,1240,-15.7285714285714,-9.08571428571429,0.242857142857133,-0.00617189142857143,-0.00356523428571429,9.5297142857139E-05,0,0.00712826913517881
0.12,1233,-16.7285714285714,-9.08571428571429,-1.75714285714287,-0.0127361828571429,-0.00713046857142857,-0.000594205714285722,0,0.0146084570112521
0.16,1235,-18.7285714285714,-10.0857142857143,1.24285714285713,-0.0200852742857143,-0.0110881028571429,-0.000106508571428583,0,0.022942877155639
0.2,1236,-14.7285714285714,-12.0857142857143,2.24285714285713,-0.0258647657142857,-0.0158305371428571,0.000773588571428557,0,0.0303346411049169
0.24,1239,-17.7285714285714,-13.0857142857143,-0.757142857142867,-0.0328214571428571,-0.0209653714285714,0.000476485714285696,0,0.0389489651563977
0.28,1238,-15.7285714285714,-9.08571428571429,-1.75714285714287,-0.0389933485714286,-0.0245306057142857,-0.000213017142857166,0,0.0460681801879109
0.32,1243,-17.7285714285714,-11.0857142857143,-2.75714285714287,-0.04595004,-0.02888064,-0.00129492000000003,0,0.0542878841051813
0.36,1240,-16.7285714285714,-11.0857142857143,0.242857142857133,-0.0525143314285714,-0.0332306742857143,-0.00119962285714289,0,0.0621568323989604
0.4,1239,-19.7285714285714,-13.0857142857143,1.24285714285713,-0.0602558228571429,-0.0383655085714286,-0.000711925714285748,0,0.0714365681871575
0.44,1243,-16.7285714285714,-11.0857142857143,1.24285714285713,-0.0668201142857143,-0.0427155428571429,-0.000224228571428609,0,0.0793069703947173
0.48,1243,-18.7285714285714,-9.08571428571429,1.24285714285713,-0.0741692057142857,-0.0462807771428571,0.00026346857142853,0,0.0874245436071757
0.52,1247,-18.7285714285714,-12.0857142857143,1.24285714285713,-0.0815182971428572,-0.0510232114285714,0.000751165714285669,0,0.0961725798940954
0.56,1245,-14.7285714285714,-11.0857142857143,1.24285714285713,-0.0872977885714286,-0.0553732457142857,0.00123886285714281,0,0.103385854987882
0.6,1241,-17.7285714285714,-11.0857142857143,1.24285714285713,-0.09425448,-0.05972328,0.00172655999999995,0,0.11159640757418
0.64,1245,-19.7285714285714,-10.0857142857143,-0.757142857142867,-0.101995971428571,-0.0636809142857143,0.00142945714285709,0,0.120251737532751
0.68,1242,-17.7285714285714,-8.08571428571429,2.24285714285713,-0.108952662857143,-0.0668537485714286,0.00230955428571423,0,0.127849288158803
0.72,1244,-11.7285714285714,-10.0857142857143,3.24285714285713,-0.113554954285714,-0.0708113828571429,0.00358205142857136,0,0.133872367116625
0.76,1244,-17.7285714285714,-9.08571428571429,-3.75714285714287,-0.120511645714286,-0.0743766171428571,0.0021077485714285,0,0.14163114253024
0.8,1243,-12.7285714285714,-11.0857142857143,-4.75714285714287,-0.125506337142857,-0.0787266514285714,0.000241045714285637,0,0.148154596321574
0.84,1241,-18.7285714285714,-12.0857142857143,3.24285714285713,-0.132855428571429,-0.0834690857142857,0.00151354285714277,0,0.156907437627593
0.88,1243,-18.7285714285714,-13.0857142857143,3.24285714285713,-0.14020452,-0.08860392,0.00278603999999991,0,0.165878642647806
0.92,1247,-14.7285714285714,-12.0857142857143,-2.75714285714287,-0.145984011428571,-0.0933463542857143,0.00170413714285705,0,0.173285249039302
0.96,1245,-18.7285714285714,-11.0857142857143,2.24285714285713,-0.153333102857143,-0.0976963885714286,0.00258423428571419,0,0.181830423852946
1,1244,-12.7285714285714,-11.0857142857143,3.24285714285713,-0.158327794285714,-0.102046422857143,0.00385673142857133,0,0.188403920443897
1.04,1244,-16.7285714285714,-10.0857142857143,2.24285714285713,-0.164892085714286,-0.106004057142857,0.00473682857142847,0,0.196083394520976
1.08,1244,-16.7285714285714,-13.0857142857143,4.24285714285713,-0.171456377142857,-0.111138891428571,0.00640172571428561,0,0.204426330356553
